,Email_ID,Subject,Body,Category,Cleaned_Subject,Cleaned_Body,combined_text
123,114,Seasonal Sale Alert,Don’t miss our seasonal sale with up to 50% off!,Spam,"['seasonal', 'sale', 'alert']","['don’t', 'miss', 'our', 'seasonal', 'sale', 'with', 'up', 'to', 'off']",seasonal sale alert don’t miss our seasonal sale with up to off
124,115,Client Meeting Follow-Up,Following up on our client meeting. Please see the attached notes.,Important,"['client', 'meeting', 'followup']","['following', 'up', 'on', 'our', 'client', 'meeting', 'please', 'see', 'the', 'attached', 'notes']",client meeting followup following up on our client meeting please see the attached notes
125,116,Special Promotion: Buy 1 Get 1 Free,Buy one item and get another free for a limited time!,Spam,"['special', 'promotion', 'buy', 'get', 'free']","['buy', 'one', 'item', 'and', 'get', 'another', 'free', 'for', 'a', 'limited', 'time']",special promotion buy get free buy one item and get another free for a limited time
126,117,Your Subscription Renewal Reminder,Your subscription is up for renewal next month.,Important,"['your', 'subscription', 'renewal', 'reminder']","['your', 'subscription', 'is', 'up', 'for', 'renewal', 'next', 'month']",your subscription renewal reminder your subscription is up for renewal next month
127,118,Exclusive Invitation to VIP Event,You’re invited to our exclusive VIP event next week!,Spam,"['exclusive', 'invitation', 'to', 'vip', 'event']","['you’re', 'invited', 'to', 'our', 'exclusive', 'vip', 'event', 'next', 'week']",exclusive invitation to vip event you’re invited to our exclusive vip event next week
128,119,Your Invoice is Available,Your invoice for the recent transaction is available for download.,Important,"['your', 'invoice', 'is', 'available']","['your', 'invoice', 'for', 'the', 'recent', 'transaction', 'is', 'available', 'for', 'download']",your invoice is available your invoice for the recent transaction is available for download
129,120,Limited Time Discount,Get a 15% discount on all purchases made today!,Spam,"['limited', 'time', 'discount']","['get', 'a', 'discount', 'on', 'all', 'purchases', 'made', 'today']",limited time discount get a discount on all purchases made today
130,121,New Product Launch,We are excited to announce the launch of our new product.,Important,"['new', 'product', 'launch']","['we', 'are', 'excited', 'to', 'announce', 'the', 'launch', 'of', 'our', 'new', 'product']",new product launch we are excited to announce the launch of our new product
131,122,Special Offer for Returning Customers,Enjoy a special offer as a thank you for returning to us!,Spam,"['special', 'offer', 'for', 'returning', 'customers']","['enjoy', 'a', 'special', 'offer', 'as', 'a', 'thank', 'you', 'for', 'returning', 'to', 'us']",special offer for returning customers enjoy a special offer as a thank you for returning to us
132,123,Project Update Notification,Here is the latest update on the ongoing project.,Important,"['project', 'update', 'notification']","['here', 'is', 'the', 'latest', 'update', 'on', 'the', 'ongoing', 'project']",project update notification here is the latest update on the ongoing project
133,124,Free Trial Extension,Your free trial has been extended for another 30 days.,Spam,"['free', 'trial', 'extension']","['your', 'free', 'trial', 'has', 'been', 'extended', 'for', 'another', 'days']",free trial extension your free trial has been extended for another days
134,125,Upcoming Event Reminder,Reminder: The upcoming event is scheduled for next Thursday.,Important,"['upcoming', 'event', 'reminder']","['reminder', 'the', 'upcoming', 'event', 'is', 'scheduled', 'for', 'next', 'thursday']",upcoming event reminder reminder the upcoming event is scheduled for next thursday
135,126,Exclusive Discount on Membership,Get a discount on membership if you join this month!,Spam,"['exclusive', 'discount', 'on', 'membership']","['get', 'a', 'discount', 'on', 'membership', 'if', 'you', 'join', 'this', 'month']",exclusive discount on membership get a discount on membership if you join this month
136,127,Your Order Has Shipped,Your order has been shipped and is on its way.,Important,"['your', 'order', 'has', 'shipped']","['your', 'order', 'has', 'been', 'shipped', 'and', 'is', 'on', 'its', 'way']",your order has shipped your order has been shipped and is on its way
137,128,Seasonal Promotion,Enjoy our seasonal promotion with discounts on all items!,Spam,"['seasonal', 'promotion']","['enjoy', 'our', 'seasonal', 'promotion', 'with', 'discounts', 'on', 'all', 'items']",seasonal promotion enjoy our seasonal promotion with discounts on all items
138,129,Feedback Request,Please provide your feedback on our recent service.,Important,"['feedback', 'request']","['please', 'provide', 'your', 'feedback', 'on', 'our', 'recent', 'service']",feedback request please provide your feedback on our recent service
139,130,Special Sale: 40% Off,Take advantage of our special sale with 40% off on select items!,Spam,"['special', 'sale', 'off']","['take', 'advantage', 'of', 'our', 'special', 'sale', 'with', 'off', 'on', 'select', 'items']",special sale off take advantage of our special sale with off on select items
140,131,Your Support Ticket Update,Your support ticket has been updated. Please check the details.,Important,"['your', 'support', 'ticket', 'update']","['your', 'support', 'ticket', 'has', 'been', 'updated', 'please', 'check', 'the', 'details']",your support ticket update your support ticket has been updated please check the details
141,132,Flash Deal Ending Soon,Our flash deal ends soon. Shop now to save big!,Spam,"['flash', 'deal', 'ending', 'soon']","['our', 'flash', 'deal', 'ends', 'soon', 'shop', 'now', 'to', 'save', 'big']",flash deal ending soon our flash deal ends soon shop now to save big
142,133,Monthly Summary Report,The monthly summary report is ready for your review.,Important,"['monthly', 'summary', 'report']","['the', 'monthly', 'summary', 'report', 'is', 'ready', 'for', 'your', 'review']",monthly summary report the monthly summary report is ready for your review
143,134,Limited-Time Offer: Free Gift,Receive a free gift with your purchase today!,Spam,"['limitedtime', 'offer', 'free', 'gift']","['receive', 'a', 'free', 'gift', 'with', 'your', 'purchase', 'today']",limitedtime offer free gift receive a free gift with your purchase today
144,135,Meeting Confirmation,Your meeting has been confirmed for tomorrow at 2 PM.,Important,"['meeting', 'confirmation']","['your', 'meeting', 'has', 'been', 'confirmed', 'for', 'tomorrow', 'at', 'pm']",meeting confirmation your meeting has been confirmed for tomorrow at pm
145,136,Exclusive Deal for Subscribers,Check out this exclusive deal available only for subscribers!,Spam,"['exclusive', 'deal', 'for', 'subscribers']","['check', 'out', 'this', 'exclusive', 'deal', 'available', 'only', 'for', 'subscribers']",exclusive deal for subscribers check out this exclusive deal available only for subscribers
146,137,Your Payment Confirmation,Your recent payment has been successfully processed.,Important,"['your', 'payment', 'confirmation']","['your', 'recent', 'payment', 'has', 'been', 'successfully', 'processed']",your payment confirmation your recent payment has been successfully processed
147,138,Special Promotion: 30% Off,Enjoy a 30% discount on your next purchase with this promo code.,Spam,"['special', 'promotion', 'off']","['enjoy', 'a', 'discount', 'on', 'your', 'next', 'purchase', 'with', 'this', 'promo', 'code']",special promotion off enjoy a discount on your next purchase with this promo code
148,139,Job Application Update,We have received your job application and will review it soon.,Important,"['job', 'application', 'update']","['we', 'have', 'received', 'your', 'job', 'application', 'and', 'will', 'review', 'it', 'soon']",job application update we have received your job application and will review it soon
149,140,Free Sample Available,Claim your free sample by signing up on our website.,Spam,"['free', 'sample', 'available']","['claim', 'your', 'free', 'sample', 'by', 'signing', 'up', 'on', 'our', 'website']",free sample available claim your free sample by signing up on our website
150,141,Client Feedback Needed,Please provide feedback on the recent client project.,Important,"['client', 'feedback', 'needed']","['please', 'provide', 'feedback', 'on', 'the', 'recent', 'client', 'project']",client feedback needed please provide feedback on the recent client project
151,142,Limited-Time Flash Sale,Don’t miss our limited-time flash sale with discounts on all items!,Spam,"['limitedtime', 'flash', 'sale']","['don’t', 'miss', 'our', 'limitedtime', 'flash', 'sale', 'with', 'discounts', 'on', 'all', 'items']",limitedtime flash sale don’t miss our limitedtime flash sale with discounts on all items
152,143,Your Account Activity Alert,We noticed unusual activity on your account. Please review.,Important,"['your', 'account', 'activity', 'alert']","['we', 'noticed', 'unusual', 'activity', 'on', 'your', 'account', 'please', 'review']",your account activity alert we noticed unusual activity on your account please review
153,144,Special Offer on New Arrivals,Get a discount on our new arrivals for a limited time!,Spam,"['special', 'offer', 'on', 'new', 'arrivals']","['get', 'a', 'discount', 'on', 'our', 'new', 'arrivals', 'for', 'a', 'limited', 'time']",special offer on new arrivals get a discount on our new arrivals for a limited time
154,145,Upcoming Workshop Details,Here are the details for the upcoming workshop.,Important,"['upcoming', 'workshop', 'details']","['here', 'are', 'the', 'details', 'for', 'the', 'upcoming', 'workshop']",upcoming workshop details here are the details for the upcoming workshop
155,146,Exclusive Discount for Members,Enjoy an exclusive discount available only for members!,Spam,"['exclusive', 'discount', 'for', 'members']","['enjoy', 'an', 'exclusive', 'discount', 'available', 'only', 'for', 'members']",exclusive discount for members enjoy an exclusive discount available only for members
156,147,Order Confirmation,Thank you for your order. Your confirmation is attached.,Important,"['order', 'confirmation']","['thank', 'you', 'for', 'your', 'order', 'your', 'confirmation', 'is', 'attached']",order confirmation thank you for your order your confirmation is attached
157,148,Seasonal Sale Announcement,Our seasonal sale starts today with up to 50% off!,Spam,"['seasonal', 'sale', 'announcement']","['our', 'seasonal', 'sale', 'starts', 'today', 'with', 'up', 'to', 'off']",seasonal sale announcement our seasonal sale starts today with up to off
158,149,Feedback Survey Invitation,We invite you to take part in our feedback survey.,Important,"['feedback', 'survey', 'invitation']","['we', 'invite', 'you', 'to', 'take', 'part', 'in', 'our', 'feedback', 'survey']",feedback survey invitation we invite you to take part in our feedback survey
159,150,Flash Sale Today,Shop our flash sale today and save up to 60%!,Spam,"['flash', 'sale', 'today']","['shop', 'our', 'flash', 'sale', 'today', 'and', 'save', 'up', 'to']",flash sale today shop our flash sale today and save up to
160,151,Your Subscription Status,Your subscription status has been updated.,Important,"['your', 'subscription', 'status']","['your', 'subscription', 'status', 'has', 'been', 'updated']",your subscription status your subscription status has been updated
161,152,Special Offer for New Customers,New customers receive a special offer on their first purchase!,Spam,"['special', 'offer', 'for', 'new', 'customers']","['new', 'customers', 'receive', 'a', 'special', 'offer', 'on', 'their', 'first', 'purchase']",special offer for new customers new customers receive a special offer on their first purchase
162,153,Project Deadline Reminder,Reminder: The project deadline is approaching.,Important,"['project', 'deadline', 'reminder']","['reminder', 'the', 'project', 'deadline', 'is', 'approaching']",project deadline reminder reminder the project deadline is approaching
163,154,Limited-Time Discount Code,Use this discount code for a limited-time offer.,Spam,"['limitedtime', 'discount', 'code']","['use', 'this', 'discount', 'code', 'for', 'a', 'limitedtime', 'offer']",limitedtime discount code use this discount code for a limitedtime offer
164,155,Upcoming Event Confirmation,Your registration for the upcoming event is confirmed.,Important,"['upcoming', 'event', 'confirmation']","['your', 'registration', 'for', 'the', 'upcoming', 'event', 'is', 'confirmed']",upcoming event confirmation your registration for the upcoming event is confirmed
165,156,Exclusive Online Discount,Enjoy an exclusive discount available only online!,Spam,"['exclusive', 'online', 'discount']","['enjoy', 'an', 'exclusive', 'discount', 'available', 'only', 'online']",exclusive online discount enjoy an exclusive discount available only online
166,157,Your Invoice Update,Your invoice has been updated. Please review the changes.,Important,"['your', 'invoice', 'update']","['your', 'invoice', 'has', 'been', 'updated', 'please', 'review', 'the', 'changes']",your invoice update your invoice has been updated please review the changes
167,158,Special Sale on Electronics,Save on electronics during our special sale event!,Spam,"['special', 'sale', 'on', 'electronics']","['save', 'on', 'electronics', 'during', 'our', 'special', 'sale', 'event']",special sale on electronics save on electronics during our special sale event
168,159,Client Meeting Reminder,Reminder: You have a client meeting scheduled for tomorrow.,Important,"['client', 'meeting', 'reminder']","['reminder', 'you', 'have', 'a', 'client', 'meeting', 'scheduled', 'for', 'tomorrow']",client meeting reminder reminder you have a client meeting scheduled for tomorrow
169,160,Seasonal Promotion Announcement,Our seasonal promotion is here with great discounts!,Spam,"['seasonal', 'promotion', 'announcement']","['our', 'seasonal', 'promotion', 'is', 'here', 'with', 'great', 'discounts']",seasonal promotion announcement our seasonal promotion is here with great discounts
170,161,Your Recent Order Confirmation,Here is the confirmation for your recent order.,Important,"['your', 'recent', 'order', 'confirmation']","['here', 'is', 'the', 'confirmation', 'for', 'your', 'recent', 'order']",your recent order confirmation here is the confirmation for your recent order
171,162,Free Gift with Subscription,Subscribe now and receive a free gift!,Spam,"['free', 'gift', 'with', 'subscription']","['subscribe', 'now', 'and', 'receive', 'a', 'free', 'gift']",free gift with subscription subscribe now and receive a free gift
172,163,Job Interview Confirmation,Your job interview has been confirmed for next week.,Important,"['job', 'interview', 'confirmation']","['your', 'job', 'interview', 'has', 'been', 'confirmed', 'for', 'next', 'week']",job interview confirmation your job interview has been confirmed for next week
173,164,Exclusive Offer for Returning Customers,Returning customers get an exclusive offer just for you!,Spam,"['exclusive', 'offer', 'for', 'returning', 'customers']","['returning', 'customers', 'get', 'an', 'exclusive', 'offer', 'just', 'for', 'you']",exclusive offer for returning customers returning customers get an exclusive offer just for you
174,165,Monthly Performance Review,Your monthly performance review is now available.,Important,"['monthly', 'performance', 'review']","['your', 'monthly', 'performance', 'review', 'is', 'now', 'available']",monthly performance review your monthly performance review is now available
175,166,Limited-Time Flash Deal,Our flash deal ends soon. Don’t miss out!,Spam,"['limitedtime', 'flash', 'deal']","['our', 'flash', 'deal', 'ends', 'soon', 'don’t', 'miss', 'out']",limitedtime flash deal our flash deal ends soon don’t miss out
176,167,New Product Offer,Check out our new product and enjoy a special offer!,Important,"['new', 'product', 'offer']","['check', 'out', 'our', 'new', 'product', 'and', 'enjoy', 'a', 'special', 'offer']",new product offer check out our new product and enjoy a special offer
177,168,Special Discount for Subscribers,Subscribers receive a special discount on all orders!,Spam,"['special', 'discount', 'for', 'subscribers']","['subscribers', 'receive', 'a', 'special', 'discount', 'on', 'all', 'orders']",special discount for subscribers subscribers receive a special discount on all orders
178,169,Your Order Status,Your order status has been updated. Check your account for details.,Important,"['your', 'order', 'status']","['your', 'order', 'status', 'has', 'been', 'updated', 'check', 'your', 'account', 'for', 'details']",your order status your order status has been updated check your account for details
179,170,Seasonal Sale Alert,Our seasonal sale is live with huge discounts!,Spam,"['seasonal', 'sale', 'alert']","['our', 'seasonal', 'sale', 'is', 'live', 'with', 'huge', 'discounts']",seasonal sale alert our seasonal sale is live with huge discounts
180,171,Client Feedback Request,We need your feedback on our recent client project.,Important,"['client', 'feedback', 'request']","['we', 'need', 'your', 'feedback', 'on', 'our', 'recent', 'client', 'project']",client feedback request we need your feedback on our recent client project
181,172,Flash Sale Ending Soon,Our flash sale is ending soon. Shop now to save!,Spam,"['flash', 'sale', 'ending', 'soon']","['our', 'flash', 'sale', 'is', 'ending', 'soon', 'shop', 'now', 'to', 'save']",flash sale ending soon our flash sale is ending soon shop now to save
182,173,Subscription Renewal Reminder,Reminder: Your subscription will renew next month.,Important,"['subscription', 'renewal', 'reminder']","['reminder', 'your', 'subscription', 'will', 'renew', 'next', 'month']",subscription renewal reminder reminder your subscription will renew next month
183,174,Exclusive VIP Sale,Join our exclusive VIP sale event and save big!,Spam,"['exclusive', 'vip', 'sale']","['join', 'our', 'exclusive', 'vip', 'sale', 'event', 'and', 'save', 'big']",exclusive vip sale join our exclusive vip sale event and save big
184,175,Your Purchase Receipt,Here is the receipt for your recent purchase.,Important,"['your', 'purchase', 'receipt']","['here', 'is', 'the', 'receipt', 'for', 'your', 'recent', 'purchase']",your purchase receipt here is the receipt for your recent purchase
185,176,Special Offer: Buy 2 Get 1 Free,Buy two items and get one free for a limited time!,Spam,"['special', 'offer', 'buy', 'get', 'free']","['buy', 'two', 'items', 'and', 'get', 'one', 'free', 'for', 'a', 'limited', 'time']",special offer buy get free buy two items and get one free for a limited time
186,177,Upcoming Workshop Reminder,Reminder: The workshop is happening this Saturday.,Important,"['upcoming', 'workshop', 'reminder']","['reminder', 'the', 'workshop', 'is', 'happening', 'this', 'saturday']",upcoming workshop reminder reminder the workshop is happening this saturday
187,178,Limited-Time Online Offer,Take advantage of our limited-time online offer!,Spam,"['limitedtime', 'online', 'offer']","['take', 'advantage', 'of', 'our', 'limitedtime', 'online', 'offer']",limitedtime online offer take advantage of our limitedtime online offer
188,179,Monthly Account Update,Your monthly account update is ready for review.,Important,"['monthly', 'account', 'update']","['your', 'monthly', 'account', 'update', 'is', 'ready', 'for', 'review']",monthly account update your monthly account update is ready for review
189,180,Special Promotion for Subscribers,Subscribers get an exclusive promotion on all orders!,Spam,"['special', 'promotion', 'for', 'subscribers']","['subscribers', 'get', 'an', 'exclusive', 'promotion', 'on', 'all', 'orders']",special promotion for subscribers subscribers get an exclusive promotion on all orders
190,181,Your Invoice is Ready,Your invoice is available for download.,Important,"['your', 'invoice', 'is', 'ready']","['your', 'invoice', 'is', 'available', 'for', 'download']",your invoice is ready your invoice is available for download
191,182,Exclusive Online Event,You’re invited to our exclusive online event next week!,Spam,"['exclusive', 'online', 'event']","['you’re', 'invited', 'to', 'our', 'exclusive', 'online', 'event', 'next', 'week']",exclusive online event you’re invited to our exclusive online event next week
192,183,Client Meeting Follow-Up,Following up on our recent client meeting. Please review.,Important,"['client', 'meeting', 'followup']","['following', 'up', 'on', 'our', 'recent', 'client', 'meeting', 'please', 'review']",client meeting followup following up on our recent client meeting please review
193,184,Special Discount for Members,Members get a special discount on their next purchase!,Spam,"['special', 'discount', 'for', 'members']","['members', 'get', 'a', 'special', 'discount', 'on', 'their', 'next', 'purchase']",special discount for members members get a special discount on their next purchase
194,185,Order Confirmation,Your order has been confirmed. Thank you for shopping with us.,Important,"['order', 'confirmation']","['your', 'order', 'has', 'been', 'confirmed', 'thank', 'you', 'for', 'shopping', 'with', 'us']",order confirmation your order has been confirmed thank you for shopping with us
195,186,Seasonal Sale Notification,Our seasonal sale starts now with great discounts!,Spam,"['seasonal', 'sale', 'notification']","['our', 'seasonal', 'sale', 'starts', 'now', 'with', 'great', 'discounts']",seasonal sale notification our seasonal sale starts now with great discounts
196,187,Feedback Request,We value your feedback on our recent service.,Important,"['feedback', 'request']","['we', 'value', 'your', 'feedback', 'on', 'our', 'recent', 'service']",feedback request we value your feedback on our recent service
197,188,Flash Sale Today,Shop our flash sale today and get up to 70% off!,Spam,"['flash', 'sale', 'today']","['shop', 'our', 'flash', 'sale', 'today', 'and', 'get', 'up', 'to', 'off']",flash sale today shop our flash sale today and get up to off
198,189,Your Subscription Status Update,Your subscription status has been updated.,Important,"['your', 'subscription', 'status', 'update']","['your', 'subscription', 'status', 'has', 'been', 'updated']",your subscription status update your subscription status has been updated
199,190,Exclusive Offer for New Subscribers,New subscribers receive an exclusive offer on their first order!,Spam,"['exclusive', 'offer', 'for', 'new', 'subscribers']","['new', 'subscribers', 'receive', 'an', 'exclusive', 'offer', 'on', 'their', 'first', 'order']",exclusive offer for new subscribers new subscribers receive an exclusive offer on their first order
200,191,Job Application Status,We have reviewed your application and will contact you soon.,Important,"['job', 'application', 'status']","['we', 'have', 'reviewed', 'your', 'application', 'and', 'will', 'contact', 'you', 'soon']",job application status we have reviewed your application and will contact you soon
201,192,Free Sample Offer,Get a free sample by signing up on our website.,Spam,"['free', 'sample', 'offer']","['get', 'a', 'free', 'sample', 'by', 'signing', 'up', 'on', 'our', 'website']",free sample offer get a free sample by signing up on our website
202,193,Client Feedback Needed,Please provide your feedback on our recent service.,Important,"['client', 'feedback', 'needed']","['please', 'provide', 'your', 'feedback', 'on', 'our', 'recent', 'service']",client feedback needed please provide your feedback on our recent service
203,194,Limited-Time Flash Sale,Don’t miss out on our limited-time flash sale!,Spam,"['limitedtime', 'flash', 'sale']","['don’t', 'miss', 'out', 'on', 'our', 'limitedtime', 'flash', 'sale']",limitedtime flash sale don’t miss out on our limitedtime flash sale
204,195,Your Account Activity Report,Your account activity report is available for review.,Important,"['your', 'account', 'activity', 'report']","['your', 'account', 'activity', 'report', 'is', 'available', 'for', 'review']",your account activity report your account activity report is available for review
205,196,Special Discount on New Products,Get a discount on our new products for a limited time!,Spam,"['special', 'discount', 'on', 'new', 'products']","['get', 'a', 'discount', 'on', 'our', 'new', 'products', 'for', 'a', 'limited', 'time']",special discount on new products get a discount on our new products for a limited time
206,197,Upcoming Workshop Details,Details for the upcoming workshop are now available.,Important,"['upcoming', 'workshop', 'details']","['details', 'for', 'the', 'upcoming', 'workshop', 'are', 'now', 'available']",upcoming workshop details details for the upcoming workshop are now available
207,198,Exclusive Member Sale,Enjoy an exclusive sale available only to members!,Spam,"['exclusive', 'member', 'sale']","['enjoy', 'an', 'exclusive', 'sale', 'available', 'only', 'to', 'members']",exclusive member sale enjoy an exclusive sale available only to members
208,199,Order Confirmation,Your order confirmation is attached. Thank you!,Important,"['order', 'confirmation']","['your', 'order', 'confirmation', 'is', 'attached', 'thank', 'you']",order confirmation your order confirmation is attached thank you
209,200,Seasonal Sale Announcement,Our seasonal sale starts today with up to 50% off!,Spam,"['seasonal', 'sale', 'announcement']","['our', 'seasonal', 'sale', 'starts', 'today', 'with', 'up', 'to', 'off']",seasonal sale announcement our seasonal sale starts today with up to off
